,created:,tough one,,
smell,smel/smelem,,smelim,
smoke,smok/smokem/smokhaed,,smok/smok/simuk,
smooth,smut/smutum,,stretpela,
snake,binrop/snek/snekbin/snekrop/wanmita,,snek,sneik
snore,sno,,pulim nus,
soap,bonaks/sop,,sop,
soft,sofsof,,. . . malmalum,
soldier,soldia,,soldia/solodia,
some,samfala/samtaem,samfala,sampela,
something,samting,,samting,
somewhere,samwea,,long sampela hap,
sore,soa,,sua,
sorry,ira/iraira/sori,,sori/sore,
soup,sup/supsup,,sup,
sour,konkon,,soua,
south,saotkos,,saut,
space,spes,,spes,
spark,spak,,spak,
spear,ginigras/sperem/spersperem/spia/spiagras,,spia/supia,spiya
speed,spid/spidbot,,spit,
spell,spel/spelem,,kaunim/spelim,
spend,spen/spenem/spentaem,,lusim,
spider,spaeda,,,spaida
spit,spet/spetemaot,,spet,
split,splitim/splitsplitim,,katim/long/hap,
sport,spot,,pilai,
squeeze,skwisim,,krungutim,
stand,stanap/stanemap,,sanap,
star,sita/sta,sta,sta,sta
start,stat/statem,statim,,
stay,stebak,stei,sindaun or stap,
steal,stil/stilim/stilimaot/stilstilim,stilim,stilim,
steep,stip,,i go daun tumas,
steer,stiarem,,stia/stiaim,
stick,stik/stikim,,han bilong diwai,
stingray,stingre,,,thingari
stone,ston/stonwol,ston,ston,ston
stop,/stop/stopem,finis,dai (indai)i stop/stopim,
store,stoa,,stua/stoa,
story,stori,,stori,
stove,stof,,stov,
straight,stret,,stretpela,
strainer,strena,,strena,
string,stringban,,string,
strong,strongfala/tudei,,strong/strongpela,
stuck,stak,,pas,
student,studen/styuden,,studen/sumatin,
study,stadi,,stadim/glasim,
stupid,,,longlong/het i pas,
substance,sabstens,,samting,
sugar,suga,,suga,
sugarcane,sugaken,,stik suga,
suitcase,potmanto/sutkes,,paus,
sun,san,san,san,san
sunday,sande,,sande,
sunglasses,dakglas,,sanglss,
support,sapot/sapotem,,sapotim,
sweat,swet/swetswet,,tuhat,
sweep,brumaot/brumum/brumumaot,,brumim,
sweet,kumala/nanuman/samsam/siro/swit/switbisket,,swit/switmoa,
swell,solap/swel,,solap,
swim,swimaot/swimim/swimso/swimswim,,swim/suvim,
t-shirt,tisot,,tisiot/t-siot,
table,tebol/tebolem,,tebol,
tail,tel,,tel,
take,karemaot/profite/tekem/tekemaot/tekembak/tekemdaon/tekerod/tekpat/tektaem,kam/tekem,kisim/bringim,
talk,tok/tokbaot/toktok,,tok/toktok,
tall,tol,,long,
tape-recorder,teprikod,,teprikoda,
tax,takis/taksem,,takis,
taxi,taksi/taksistop,,taksi,
teach,tij/tijim,,skulim,
teacher,tija,,tisa,
teapot,tipot,,tipot,
telephone,telefon/telekad,,telepon/telipon,
television,tbv/televisen,,bokis wailis wantem piksa,
tell,raosem/talem/taltalem,talem,tokim,
ten,tenkomanmen/tenwil,,ten/tenpela,
tenth,nambaten,,namba ten,
that,emia/hemia,,dispela/olsem/dispela,
then,,den,,
they,olgeta/oli,olgeta,ol,
thick,bigbus/dakbus/sathed,,strong,
thief,stilman,,stilman,
thin,tin/tintin,,bun nating,
think,ting/tingbaot/tingting,ting ting,tingting/ting/tingting,
third,nambatri,,namba tri,
thirsty,tosta,,hangre long dring,
this,disfala/tismanis/tiswik/tisyia,,dispela/dispela/ya,
three,tri/tribatri/trifala/trifingga/tritri,,tri/tripela/tri/tripela,
throat,trot,,nek,
throw,sakem/sakemaot/sakemdaon/sper/stonem/tro,,tromoi,
thunder,tanda,,klaut i pairap,
thursday,tosde,,fonde,
ticket,tiket/tikit,,tiket,
tide,taed,,tait,
tie,fasfasem/nektae/ropem,,nektait,
tighten,taetem,,taitim,
time,taem/taemem,taem,taim,
tip,kapsaedem/kapsaet/kapsaetem/kapsaetemaot,,kapsaitim,
tired,taed,,les/skin i les/slek/bun i slek,
to,olwe/sotfala,,long,
tobacco,tabak,,brus/tabak/stik tabak/tobako,
today,tede,tude,tede/tude,tidei
together,tugeta/wanples,tugeda,wantaim,
toilet,kabine/klosis/smolhaos/toelet/toeletpepa,,smol haus/liklik haus/haus pekpek/toilet,
tomorrow,tumora,,tumaro,thumara
tongue,tan/tang,tan,tan/tang,tan
tonight,tunaet,,tunait,
too,tu/tumas,,tumas/tu,
tooth,tut,titi,tit,tit
toothbrush,tutbras,,bros bilong tit,
toothpaste,tutpes,,sop bilong tit,
touch,hanbol/tajem/tajtajem/tusum,,pilim,
tourist,turis,,turis/kam man,
towel,tawel/tawelem,,taul,
town,lameri/taon/taonhol,,taun,
track,koltraoses/trak,,liklik rot/hanrot,
train,tren/trenem/trengud,,tren,
translate,transletem,,tanim tok ples,
travel,goraon,,wokabaut,
tree,wud/tri/anandat/balanggo/benoa/blakpam/bluwud/glutri/nalakulaku/namalaos/namalaus/nambalanggo/nambuka/namemiwa/nasis/navava/navenue,tri,diwai/dawai,tri
trouble,trabol,,trabel/trabol,
troublemaker,trabolman,,trabelman,
trousers,traoses,,trausis,
truck,kamiong/trak,,trak,
true,tru,stret,tru,
tuesday,tusde,,tunde,
tune,tiun,,nek,
turn,tanem/tanemraon/tanraon/tantanem,,tanim,
turtle,totel,,trosel/trausel,totol
twenty,twante,,twenti/tupela ten,
two,tu/tufala/tustori/tutu,tu/tufala,tu/tupela/tu/tupela,tu
type,bulu/koronivia/laslas/makmakfis/nalaslas/navia/taep/taepem/taptap/tuspot/woklet,,taipim,
typewriter,taepraeta,,taipraita,
typist,taepis,,taipis,
tyre,sude,,taia/gumi,
umbrella,ambrela/nambrela/waelambrela,,ambrela,
understand,andastan/andastanem/haremsave/ridimsave/save,minim/save,save,
university,usp/yunivesiti,,yunivesiti/univesiti,
until,,kasem,inap long,
us,mifala,iu mi,,
use,yus/yusum/yusumaot,,yusim,
utility,openkat/opentrak,,hapka,
very,dabolbun/fodei/sapgud/smolsmol/stonej,tumas/fogud,tumas/mo/tru,
village,baie/lounim/namba/navota/red/snake/vilej,,ples/viles,
vine,biglif/busrop/nasasa/patol,,rop/rop bilong diwai,
visit,visit/visitim,kasem,go lukim,
voice,voes,,nek,
vomit,traot,,traut,
vote,vot/votem,,vot,
walk,pasraon/wokbaot,,wokabaut,
wall,wol,,banis,
want,wantem,laek/laekem/wande,laik,
war,manwo/wo/woplen,,pait,
warm,wom/womem,,hotpela,
wash,was/wasem/wasemaot/wasemdaon/wasfes/washan/wasplet,,waswas/wasim,
waste,wes/westem,,westim,
water,wota/welwota/wotafi/wotasaplae,wata,wara,wata
we,yumi/mitrifala/mitufala/yumitrifala/yumitu/yumitufala,mifala,yumi/mipela,mipla
wednesday,wenesde,,trinde,
weed,hanslasa/waetbrum,,klinim gaden/tekimaut gras nogut,
week,wik,,wik,
weekend,wiken,,wiken,
west,wes/weskos,,wes,
wet,wetwet,,wet/i gat wara/wet,
wharf,wof,,bris,
what,kanelvet/wanem/wataem/watfo/wedei,wat,wanem,
where,wea/wehem/wem,,we/westap/wanem/ples/we/westap,
white,krismesyam/martinik/nasiko/nataroa/sikismanis/waet/waetflaengfokis/waetman/waetmisis/waetpule/waetsan/waetskin/waetspot/waetwaen/waetyam,,waitpela/wait/waitpela,
who,bagre/hu/huia,,husat/em/usat,
wife,waef,,meri,
wild,frombwas/nandae/navas/wael/waeldakdak/waeljinja/waelkava/waelken/waelmanggo/waelpig/waeltabak,,wel/welpela/wail/wailpela,
will,,bae,bai,
win,win,,winim,
wind,waenem/waenemap/wilim/wilimap/win,,win,win
window,aesoping/windo,,windua,
wine,bombom/damsen//waen,,wain,
wipe,kilimaot/kilkilimaot/waepem/waepemaot,,waipim,
wireless,waeles,,wailis,
wise,waes,,i save tumas,
with,wetem,tugeda/wetim,wantaim,
without,wetaot,,i no gat,
woman,misis,,meri,
wool,wul,,gras bilong sipsip,
word,bislama,,tok,
workshop,woksop,,woksop,
world,who,,graun,
worm,wom,,liklik/snek,
wreck,rek/rekem/rekemap,,spoilim,
write,raet/raetem/raetemdaon,,raitim,
wrong,rong/wrong,,kranki,
yam,redyam/waelu/yamsped,,mami/yam,yam
year,yia,,yia,
yeast,yis,,yis,
yellow,yelo,,yelopela/yelo/yelopela,
yes,,,ya/yes,wa
yesterday,yestedei,,asde,
you and i,,iu an mi,yumitupela,
you,yu/taptapin/yufala/yutrifala/yutufala,iu/iu fala,yu/yupela/yu/yupela,yu
young,yang/yangfala/yangkava,,yangpela,
zero,siro,,siro/nating/not,
