,created:,tough one,,
cinema,sinema,,haus piksa,
city,bigtaon,,biktaun,
clay,graonpot/klepot/redgraon,,graun/graun malomalo/graun bilong wokim sospen,
clean,klin/klinim/klinimaot/klinklinim,,klin/klinpela,
clear,klia/kliarem/klirim,,klia,
clerk,klak,,kuskus,
clock,klok/oklok,,klok/kilok,
close,kloklosap/klosem/sarem/satem,,pasim,
closed,klos,,i pas,
clothes,klos/klospin,,klos,
cloud,klaod,,klaut,klaud
club,klab/nalnal,, klab,stik bilong pait,
clutch,klaj,,klats,
coat,hanga/kot,,kot,
cocoa,kakao,,kakao,
coconut,bigbol/kokonas/redkokonas/switskin,,kokonas,
coffee,kofe/kofi,,kopi,
cold,kol/koljisel/kolkol/kolrum/kolwota,,kolpela/kol /kolpela,
colour,kala,,kala,
comb,kom/komem/komkomem/smolkom,,kom,
come,kam/kamaot/kamdaon/kamkros/kamon/maturu/silip,kam/kakam,kam,kam
complain,komplen,,kotim,
completely,flatem/fogetemaot/fulblaen/fuldrong/fulwan,,olgeta,
computer,kompiuta,,komputa,
concert,konset,,singsing,
continue,gohed,,skruim . . . i go,
cook,kuk/kukum,,kuk/kukim,
copra,kopra/smokhaos,,kopra,
copy,kopi/tepemaot,,bihainim,
corn,kon,,kon,
corner,kona,,kona,
correct,korektem,,stret/stretpela,
cotton,koten/kotentri,,katen,
count,kaontem,,kaunim,
course,kos,,kos,
court,kot,,kot,
courthouse,kothaos,,kothaus,
cousin,kasen,,kasen,
crab,krab/waetkrab,,kuka,
crayfish,naora,,kindam,
crazy,hafkrangke/hafmad,, longlong,waia i lus,
cream,,,strongpela susu,
criminal,bondi/kriminol,,man nogut/raskol,
crocodile,algita/krokodael,,pukpuk,algida
cross,gokros/kros/kroswud,,diwai kros,
cry,krae,,krai,
cucumber,kukamba,,kukamba,
cup,kap,,kap,
cupboard,kabod/kapod,,kapet,
curry,kari/karipaoda,,kari,
curtain,rido,,laplap bilong windo,
custard,kastedapol,,kastet,
cut,hafem/kat/katem/katemaot/katemap/katemdaon/,,katim/kat/katim,
darkness,tudak,,tudak,
daughter,dota,,pikinini meri (bilong em),
day,aftatumora/dei,,de,
dead,ded,,i dai pinis,
december,disemba,,desemba,
decide,disaed/disaedem,,pasim tingting,
decorate,flasem/flasflasem,,bilasim,
deep,dipsi/slipded,,godaun tru,
dessert,,,switpela kaikai,
develop,divelop/divelopem,,kamapim,
devil,devel/nanggalat,,satan/setan,
diamond,daeman,,daimen,
dictionary,diksonari,,buk bilong painim mining,
die,ded/matemate,dae/kikim baket,dai/dai pinis,ded
different,defdefren/defren,,narakain/narapela kain,
difficult,hadlaef/trabolples,,i hatwok,
dig,digdig/digdigim/digim/digimaot/pikim/spedem/spedemaot,,digim,
dinner,dina,,kaikai long belo,
disciple,disaepol,,disaipel,
dish,dis,,dis,
district,distrik,,distrik,
divorce,divos/divosem,,katim marit,
do,mekmekem/mekwanem/rongem/wokem,mekim,mekim,
doctor,dokta,,dokta,
dog,dog/ovon,dogi,dok,dog
door,do,,dua,
double,dabol/dabolbed/dabolem/dabolkabin/dabolplag/daerek/maredbed,,dabolim,
down,daon,,daun/tamblo/tambolo,
drink,drin/dring/dringhaed/dringim/mamu/nunu/pipi,drinkim,drin/dringim,drin
driver,draeva,,draiva,
drum,dram,,kundu/garamut,dram
drunk,drong/drongman/sule,,spak,
dry,drae/draebatri/draebisket/draedok/draekokonas/draem/koltaem,,drai/drai/draipela,
duck,dakdak,,pato,
dugong,kaofis,,,dugon
dust,das,,das,
ear,sore/dalinan/ia/nadalingan/nadalngan/natalingan,ia,yau/ia/yau/ia,talina/talinga
earthquake,etkwek,,guria,
east,is/iskos/laenbrij,,hap san i kamap/or es,
easter,ista/lepak,,ista,
easy,isi,,isi,
educate,eduketem/edyuketem,,edukeitim,
eel,ilfis/namarae,,maleo,
egg,eg,,kiau,
eight,eit,,et/etpela,
electric,lektrik,,lektrik,
embassy,ambasad/embasi,,haus luluai bilong longwe ples,
empty,emti/selbag,,klia,
end,en,finis,,
engine,enjin,,ensin,
english,inglis,,inglis,
enjoy,enjoe/enjoem,,hamamas tru,
enough,,finis/naf,inap,
envelope,envlop,,skin pas,
establish,fomemap/setemap,,kirapim,
expect,ekspek/ekspektem,,wetim,
expensive,bigmane/sas,,dia,
explain,eksplen/eksplenem,,toksave/tok save long,
extremely,bagari,,tumas/mo/tru,
eye,ae,ae,ai,ay/ai
