I,mi
you,iu
we,mifala
one,wan
two,tu
two,tufala
person,man
fish,fis
fish,bis
dog,dogi
louse,laos
tree,tri
leaf,lif
skin,skin
blood,blad
bone,bon
ear,ia
eye,ae
nose,nos
tooth,titi
tongue,taN
knee,ni
hand,am
hand,han
breast,susu
breast,tutu
liver,liva
drink,drinkim
see,luk
hear,herem
die,dae
die,kikim baket
come,kam
come,kakam
sun,san
star,sta
water,wata
stone,ston
fire,faea
path,rod
mountain,hil
mountain,maonden
night,dak
night,naet
night,tudak
full,ful
full,fulap
new,niu
new,niufala
name,nem
