I,mi
you,yu
we,yumi
one,wan
two,tu
person,man
person,fala
fish,fis
dog,dog
dog,ovon
louse,kuti
tree,wud
tree,tri
leaf,lif
skin,skin
blood,blad
bone,bun
ear,sore
ear,daliNan
nose,nus
tooth,tut
tongue,taN
hand,han
breast,titi
breast,susu
drink,driN
see,lasiri
see,luk
hear,harem
hear,arem
die,ded
die,matemate
come,kam
sun,san
star,sita
water,wota
stone,ston
fire,faya
fire,faia
path,rod
path,ahal
mountain,hil
night,nat
night,namb~oN
full,ful
new,5u
name,nem
